,Run,Parameters,Execution_Time,#Triclusters,Coverage_Mean,Coverage_Std,Coverage,#Rows_Mean,#Rows_Std,#Cols_Mean,#COls_Std,#Ctxs_Mean,#Ctxs_Std,MSR_Mean,MSR_Std,MSR,Recoverability_Mean,Recoverability_Std,Recoverability,IntraTemporal_Homogeneity,InterTemporal_Homogeneity,#Cols_Std
0,1,"{'alpha': 0.05, 'delta': 0.05}",0.9138143062591552,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
1,2,"{'alpha': 0.05, 'delta': 0.1}",0.4985671043395996,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
2,3,"{'alpha': 0.05, 'delta': 0.5}",0.5178470611572266,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
3,4,"{'alpha': 0.05, 'delta': 1}",0.502103328704834,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
4,5,"{'alpha': 0.05, 'delta': 1.5}",0.5183036327362059,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
5,6,"{'alpha': 0.05, 'delta': 2}",0.5253202915191649,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
6,7,"{'alpha': 0.1, 'delta': 0.05}",0.5132355690002441,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
7,8,"{'alpha': 0.1, 'delta': 0.1}",0.4941568374633789,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
8,9,"{'alpha': 0.1, 'delta': 0.5}",0.5020091533660889,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
9,10,"{'alpha': 0.1, 'delta': 1}",0.5047767162322998,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
10,11,"{'alpha': 0.1, 'delta': 1.5}",0.5061345100402832,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
11,12,"{'alpha': 0.1, 'delta': 2}",0.4910194873809815,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
12,13,"{'alpha': 0.5, 'delta': 0.05}",0.5111579895019531,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
13,14,"{'alpha': 0.5, 'delta': 0.1}",0.4935314655303955,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
14,15,"{'alpha': 0.5, 'delta': 0.5}",0.5131971836090088,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
15,16,"{'alpha': 0.5, 'delta': 1}",0.49482369422912603,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
16,17,"{'alpha': 0.5, 'delta': 1.5}",0.5012071132659912,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
17,18,"{'alpha': 0.5, 'delta': 2}",0.5058674812316895,2,0.20199999999999999,0.182,"{1: 0.384, 2: 0.019}",250.0,230.0,5.5,,4.0,0.0,209374002.795,12377286.285000013,"{1: 196996716.51, 2: 221751289.08}",,,{},"{1: 0.044, 2: 0.224}","{1: 0.498, 2: 0.561}",0.5
18,19,"{'alpha': 1, 'delta': 0.05}",0.4910874366760254,2,0.098,0.08199999999999999,"{1: 0.18, 2: 0.016}",250.0,201.0,4.5,,2.0,0.0,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",,,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}",0.5
19,20,"{'alpha': 1, 'delta': 0.1}",0.5017216205596924,2,0.098,0.08199999999999999,"{1: 0.18, 2: 0.016}",250.0,201.0,4.5,,2.0,0.0,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",,,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}",0.5
20,21,"{'alpha': 1, 'delta': 0.5}",0.4932074546813965,2,0.098,0.08199999999999999,"{1: 0.18, 2: 0.016}",250.0,201.0,4.5,,2.0,0.0,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",,,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}",0.5
21,22,"{'alpha': 1, 'delta': 1}",0.4774353504180908,2,0.098,0.08199999999999999,"{1: 0.18, 2: 0.016}",250.0,201.0,4.5,,2.0,0.0,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",,,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}",0.5
22,23,"{'alpha': 1, 'delta': 1.5}",0.4823558330535889,2,0.098,0.08199999999999999,"{1: 0.18, 2: 0.016}",250.0,201.0,4.5,,2.0,0.0,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",,,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}",0.5
23,24,"{'alpha': 1, 'delta': 2}",0.4882247447967529,2,0.098,0.08199999999999999,"{1: 0.18, 2: 0.016}",250.0,201.0,4.5,,2.0,0.0,178948636.19,3467440.879999995,"{1: 175481195.31, 2: 182416077.07}",,,{},"{1: 0.069, 2: 0.101}","{1: 0.464, 2: 0.799}",0.5
24,25,"{'alpha': 1.5, 'delta': 0.05}",0.4751355648040772,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
25,26,"{'alpha': 1.5, 'delta': 0.1}",0.4836649894714356,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
26,27,"{'alpha': 1.5, 'delta': 0.5}",0.48701119422912603,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
27,28,"{'alpha': 1.5, 'delta': 1}",0.4908506870269776,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
28,29,"{'alpha': 1.5, 'delta': 1.5}",0.4751017093658447,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
29,30,"{'alpha': 1.5, 'delta': 2}",0.4902088642120361,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
30,31,"{'alpha': 2, 'delta': 0.05}",0.4910504817962647,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
31,32,"{'alpha': 2, 'delta': 0.1}",0.4846193790435791,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
32,33,"{'alpha': 2, 'delta': 0.5}",0.4773621559143066,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
33,34,"{'alpha': 2, 'delta': 1}",0.4826531410217285,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
34,35,"{'alpha': 2, 'delta': 1.5}",0.4741570949554443,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
35,36,"{'alpha': 2, 'delta': 2}",0.4989590644836426,1,0.8,0.0,{1: 0.8},500.0,0.0,10.0,,4.0,0.0,204212531.95,0.0,{1: 204212531.95},,,{},{1: 0.042},{1: 0.514},0.0
